Country,Currency_Code,USD_Exchange_Rate,WCBA,HMB_Prevalence,C_H,C_H_Comm,C_H_NonComm,C_NS,C_NS_Comm,C_NS_NonComm,C_S,C_S_Comm,C_S_NonComm,C_U,C_U_Comm,C_U_NonComm,MS0_H,MS0_NS,MS0_S,MS0_U,E_H,E_NS,E_S,E_U,A_H,A_NS,A_S,A_U,D_H,D_NS,D_S,D_U
Benin,LCU,606.65497,3355286,0.25,88791.148,14527.64,74263.516,235071.63,153274.58,81797.055,502168.31,419996.97,82171.336,52341.902,10316.528,42025.375,0,0.2015,0.054499999,0.74400002,0.64241999,0.10944493,0.76646978,0,0.11846995,0.40520257,0.10625625,0.45500001,0.050216112,0.21238168,0.041955318,0.28052232
Burkina Faso,LCU,606.56976,5585651,0.25,84409.195,13808.745,70600.453,223471.09,145709.94,77761.141,477392.31,399275.34,78116.961,49759.328,9807.5059,39951.82,0,0.2015,0.054499999,0.74400002,0.64224976,0.1096396,0.76595187,0,0.11848318,0.405114,0.1064919,0.45500001,0.050199009,0.21219954,0.04206752,0.28052232
Burundi,LCU,2574.0518,3219890,0.25,376953.97,110635.6,266318.38,728952.88,411937.66,317015.22,1084885.4,937105.63,147779.69,233311.39,26168.129,207143.27,0,0.2015,0.054499999,0.74400002,0.64210922,0.1091785,0.76642168,0,0.11856414,0.4053238,0.10627813,0.45500001,0.050227996,0.21242709,0.041865803,0.28052232
Cameroon,LCU,606.56976,6935817,0.25,83485.805,13674.084,69811.719,220987.94,144091.06,76896.867,472085.63,394836.91,77248.727,49206.277,9698.5,39507.777,0,0.2015,0.054499999,0.74400002,0.64199072,0.10961562,0.76620573,0,0.11857163,0.4051249,0.10637639,0.45500001,0.050283708,0.21225637,0.04200225,0.28052232
Chad,LCU,606.56976,4362604,0.25,99345.891,16244.084,83101.805,263039.72,171510.7,91529.016,561914.19,469966.38,91947.828,58569.383,11543.958,47025.426,0,0.2015,0.054499999,0.74400002,0.64254379,0.10940517,0.7666024,0,0.11842797,0.40522066,0.10619591,0.45500001,0.050171398,0.21238025,0.041909285,0.28052232
Cote d'Ivoire,LCU,606.56976,7534743,0.25,93719.328,15333.238,78386.094,248117.05,161779.63,86337.422,530043,443310.5,86732.484,55247.285,10889.177,44358.109,0,0.2015,0.054499999,0.74400002,0.64237636,0.10973089,0.76610297,0,0.118407,0.40507245,0.10642316,0.45500001,0.050189164,0.21214324,0.041988291,0.28052232
Ethiopia,LCU,54.600948,32128042,0.25,9947.7598,2920.5334,7027.2266,19234.209,10869.471,8364.7383,28626.852,24726.814,3900.0371,6156.2119,690.4787,5465.7334,0,0.2015,0.054499999,0.74400002,0.64179069,0.10932622,0.76640654,0,0.11868536,0.40525657,0.10628504,0.45500001,0.050317295,0.2124047,0.042014275,0.28052232
Ghana,LCU,11.020409,8617189,0.25,1112.6925,182.3316,930.36084,2945.1062,1920.3025,1024.8037,6291.498,5262.0049,1029.4929,655.77148,129.25182,526.51965,0,0.2015,0.054499999,0.74400002,0.64185178,0.10963477,0.76555628,0,0.11863453,0.4051162,0.10667191,0.45500001,0.050324418,0.21227379,0.042127576,0.28052232
Guinea-Bissau,LCU,606.56976,546438,0.25,85401.492,13978.718,71422.773,226083,147413.73,78669.273,482966.13,403936.91,79029.242,50340.438,9922.042,40418.395,0,0.2015,0.054499999,0.74400002,0.64222121,0.10937448,0.76642412,0,0.11853282,0.40523463,0.10627703,0.45500001,0.05024704,0.21239163,0.041942611,0.28052232
Kenya,LCU,139.84639,14493523,0.25,24356.83,7150.853,17205.979,47092.898,26614.014,20478.885,70095.414,60545.012,9550.4023,15073.795,1690.6719,13383.123,0,0.2015,0.054499999,0.74400002,0.6420368,0.1098637,0.76544148,0,0.11853965,0.40501204,0.10672412,0.45500001,0.050282791,0.21217485,0.042099629,0.28052232
